2025-12-18 16:26:47 startup archives unpack
2025-12-18 16:26:47 install krb5-locales:all <none> 1.20.1-6ubuntu2.6
2025-12-18 16:26:47 status half-installed krb5-locales:all 1.20.1-6ubuntu2.6
2025-12-18 16:26:47 status unpacked krb5-locales:all 1.20.1-6ubuntu2.6
2025-12-18 16:26:47 install libkrb5support0:amd64 <none> 1.20.1-6ubuntu2.6
2025-12-18 16:26:47 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.6
2025-12-18 16:26:47 status half-installed libkrb5support0:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:47 status unpacked libkrb5support0:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:47 install libk5crypto3:amd64 <none> 1.20.1-6ubuntu2.6
2025-12-18 16:26:47 status half-installed libk5crypto3:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:47 status unpacked libk5crypto3:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:47 install libkeyutils1:amd64 <none> 1.6.3-3build1
2025-12-18 16:26:47 status half-installed libkeyutils1:amd64 1.6.3-3build1
2025-12-18 16:26:47 status unpacked libkeyutils1:amd64 1.6.3-3build1
2025-12-18 16:26:47 install libkrb5-3:amd64 <none> 1.20.1-6ubuntu2.6
2025-12-18 16:26:47 status half-installed libkrb5-3:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:47 status unpacked libkrb5-3:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:47 install libgssapi-krb5-2:amd64 <none> 1.20.1-6ubuntu2.6
2025-12-18 16:26:47 status half-installed libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:48 status unpacked libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.6
2025-12-18 16:26:48 install libcbor0.10:amd64 <none> 0.10.2-1.2ubuntu2
2025-12-18 16:26:48 status half-installed libcbor0.10:amd64 0.10.2-1.2ubuntu2
2025-12-18 16:26:48 status unpacked libcbor0.10:amd64 0.10.2-1.2ubuntu2
2025-12-18 16:26:48 install libfido2-1:amd64 <none> 1.14.0-1build3
2025-12-18 16:26:48 status half-installed libfido2-1:amd64 1.14.0-1build3
2025-12-18 16:26:48 status unpacked libfido2-1:amd64 1.14.0-1build3
2025-12-18 16:26:48 install libxau6:amd64 <none> 1:1.0.9-1build6
2025-12-18 16:26:48 status half-installed libxau6:amd64 1:1.0.9-1build6
2025-12-18 16:26:48 status unpacked libxau6:amd64 1:1.0.9-1build6
2025-12-18 16:26:48 install libxdmcp6:amd64 <none> 1:1.1.3-0ubuntu6
2025-12-18 16:26:48 status half-installed libxdmcp6:amd64 1:1.1.3-0ubuntu6
2025-12-18 16:26:48 status unpacked libxdmcp6:amd64 1:1.1.3-0ubuntu6
2025-12-18 16:26:48 install libxcb1:amd64 <none> 1.15-1ubuntu2
2025-12-18 16:26:48 status half-installed libxcb1:amd64 1.15-1ubuntu2
2025-12-18 16:26:48 status unpacked libxcb1:amd64 1.15-1ubuntu2
2025-12-18 16:26:48 install libx11-data:all <none> 2:1.8.7-1build1
2025-12-18 16:26:48 status half-installed libx11-data:all 2:1.8.7-1build1
2025-12-18 16:26:48 status unpacked libx11-data:all 2:1.8.7-1build1
2025-12-18 16:26:48 install libx11-6:amd64 <none> 2:1.8.7-1build1
2025-12-18 16:26:48 status half-installed libx11-6:amd64 2:1.8.7-1build1
2025-12-18 16:26:48 status unpacked libx11-6:amd64 2:1.8.7-1build1
2025-12-18 16:26:48 install libxext6:amd64 <none> 2:1.3.4-1build2
2025-12-18 16:26:48 status half-installed libxext6:amd64 2:1.3.4-1build2
2025-12-18 16:26:48 status unpacked libxext6:amd64 2:1.3.4-1build2
2025-12-18 16:26:48 install libxmuu1:amd64 <none> 2:1.1.3-3build2
2025-12-18 16:26:48 status half-installed libxmuu1:amd64 2:1.1.3-3build2
2025-12-18 16:26:48 status unpacked libxmuu1:amd64 2:1.1.3-3build2
2025-12-18 16:26:48 install openssh-client:amd64 <none> 1:9.6p1-3ubuntu13.14
2025-12-18 16:26:48 status half-installed openssh-client:amd64 1:9.6p1-3ubuntu13.14
2025-12-18 16:26:48 status unpacked openssh-client:amd64 1:9.6p1-3ubuntu13.14
2025-12-18 16:26:48 install xauth:amd64 <none> 1:1.1.2-1build1
2025-12-18 16:26:48 status half-installed xauth:amd64 1:1.1.2-1build1
2025-12-18 16:26:48 status unpacked xauth:amd64 1:1.1.2-1build1
2025-12-18 16:26:48 install lftp:amd64 <none> 4.9.2-2ubuntu1.1
2025-12-18 16:26:48 status half-installed lftp:amd64 4.9.2-2ubuntu1.1
2025-12-18 16:26:48 status unpacked lftp:amd64 4.9.2-2ubuntu1.1
2025-12-18 16:26:48 startup packages configure
2025-12-18 16:26:48 configure libxau6:amd64 1:1.0.9-1build6 <none>
2025-12-18 16:26:48 status unpacked libxau6:amd64 1:1.0.9-1build6
2025-12-18 16:26:48 status half-configured libxau6:amd64 1:1.0.9-1build6
2025-12-18 16:26:48 status installed libxau6:amd64 1:1.0.9-1build6
2025-12-18 16:26:48 configure libxdmcp6:amd64 1:1.1.3-0ubuntu6 <none>
2025-12-18 16:26:48 status unpacked libxdmcp6:amd64 1:1.1.3-0ubuntu6
2025-12-18 16:26:48 status half-configured libxdmcp6:amd64 1:1.1.3-0ubuntu6
2025-12-18 16:26:48 status installed libxdmcp6:amd64 1:1.1.3-0ubuntu6
2025-12-18 16:26:48 configure libkeyutils1:amd64 1.6.3-3build1 <none>
2025-12-18 16:26:48 status unpacked libkeyutils1:amd64 1.6.3-3build1
2025-12-18 16:26:48 status half-configured libkeyutils1:amd64 1.6.3-3build1
2025-12-18 16:26:48 status installed libkeyutils1:amd64 1.6.3-3build1
2025-12-18 16:26:48 configure libxcb1:amd64 1.15-1ubuntu2 <none>
2025-12-18 16:26:48 status unpacked libxcb1:amd64 1.15-1ubuntu2
2025-12-18 16:26:48 status half-configured libxcb1:amd64 1.15-1ubuntu2
2025-12-18 16:26:48 status installed libxcb1:amd64 1.15-1ubuntu2
